Name,Score
Intel Core i7-7660U @ 2.50GHz,4029
Intel Core i3-8145UE @ 2.20GHz,3960
Intel Core i5-7260U @ 2.20GHz,3959
Intel Core i3-8140U @ 2.10GHz,3919
AMD Athlon Gold 3150U,3865
Intel Core i7-7560U @ 2.40GHz,3855
Snapdragon 7c Gen 2 @ 2.55 GHz,3853
Intel Core i7-2840QM @ 2.40GHz,3842
AMD Athlon 300U,3824
Intel Core i3-10110U @ 2.10GHz,3823
Intel Core i5-6287U @ 3.10GHz,3819
Intel Core i5-7360U @ 2.30GHz,3819
AMD Ryzen Embedded R1505G,3805
Intel Core i3-8145U @ 2.10GHz,3774
Intel Core i7-2710QE @ 2.10GHz,3749
Intel Core i5-7287U @ 3.30GHz,3743
Intel Core i7-2670QM @ 2.20GHz,3737
AMD Ryzen 3 3200U,3722
Snapdragon 7c @ 1.96 GHz,3712
Intel Core i7-7600U @ 2.80GHz,3698
AMD Ryzen 3 3250U,3687
Intel Core i7-2675QM @ 2.20GHz,3669
Intel Core i7-6567U @ 3.30GHz,3666
AMD Ryzen 3 2200U,3657
Intel Core i7-7500U @ 2.70GHz,3637
Intel Core i5-7267U @ 3.10GHz,3625
Intel Core i5-7300U @ 2.60GHz,3624
AMD Ryzen Embedded V1202B,3617
Intel Core i7-6660U @ 2.40GHz,3601
Intel Core i7-6650U @ 2.20GHz,3573
Intel Core i7-2630QM @ 2.00GHz,3560
Intel Core i7-10510Y @ 1.20GHz,3554
AMD Athlon Silver 10,3543
Intel Core i3-8130U @ 2.20GHz,3528
Intel Core i7-2635QM @ 2.00GHz,3524
AMD A8-7680,3522
Intel Core i3-1000NG4 @ 1.10GHz,3521
[Dual CPU] Intel Core2 Duo T7700 @ 2.40GHz,3497
Snapdragon 850 @ 2.96 GHz,3473
Intel Core i3-7100H @ 3.00GHz,3450
Snapdragon 7c @ 2.40 GHz,3448
AMD Embedded R-Series RX-418GD Radeon R6,3426
Intel Pentium Silver N5020 @ 1.10GHz,3404
Intel Core i7-6600U @ 2.60GHz,3403
Intel Celeron 6600HLE @ 2.60GHz,3388
Intel Core i5-6267U @ 2.90GHz,3375
Intel Core i5-7200U @ 2.50GHz,3373
Intel Core i7-6498DU @ 2.50GHz,3372
Intel Core i7-6560U @ 2.20GHz,3336
Intel Core i3-6100E @ 2.70GHz,3315
Intel Celeron N5100 @ 1.10GHz,3309
AMD FX-9830P,3306
Intel Core i3-7167U @ 2.80GHz,3292
Intel Core i5-L16G7 @ 1.40GHz,3287
Intel Core i7-6500U @ 2.50GHz,3273
Intel Core i7-4610M @ 3.00GHz,3254
Intel Core i5-4340M @ 2.90GHz,3249
Intel Core i7-2715QE @ 2.10GHz,3221
